id,stop_id,on_street,cross_street,routes,boardings,alightings,month_beginning,daytype,location,lat,lon,num_routes,route,total_traffic
11033,2554,COTTAGE GROVE,BOWEN,"2,4",19.9,38.9,10/01/2012,Weekday,"(41.80157586, -87.60649610)",41.80157586,-87.6064961,2,4,58.8
11034,2555,COTTAGE GROVE,52ND STREET,"2,4",16.3,37.9,10/01/2012,Weekday,"(41.80041300, -87.60642500)",41.800413,-87.606425,2,2,54.2
11035,2555,COTTAGE GROVE,52ND STREET,"2,4",16.3,37.9,10/01/2012,Weekday,"(41.80041300, -87.60642500)",41.800413,-87.606425,2,4,54.2
11036,2556,COTTAGE GROVE,53RD STREET,"2,4",55.9,123.6,10/01/2012,Weekday,"(41.79849457, -87.60640775)",41.79849457,-87.60640775,2,2,179.5
11037,2556,COTTAGE GROVE,53RD STREET,"2,4",55.9,123.6,10/01/2012,Weekday,"(41.79849457, -87.60640775)",41.79849457,-87.60640775,2,4,179.5
11038,2557,COTTAGE GROVE,54TH STREET,"2,4",28,41.6,10/01/2012,Weekday,"(41.79676700, -87.60634000)",41.796767,-87.60634,2,2,69.6
11039,2557,COTTAGE GROVE,54TH STREET,"2,4",28,41.6,10/01/2012,Weekday,"(41.79676700, -87.60634000)",41.796767,-87.60634,2,4,69.6
11040,2558,COTTAGE GROVE,55TH STREET,"2,4",301.3,256.5,10/01/2012,Weekday,"(41.79508678, -87.60633032)",41.79508678,-87.60633032,2,2,557.8
11041,2558,COTTAGE GROVE,55TH STREET,"2,4",301.3,256.5,10/01/2012,Weekday,"(41.79508678, -87.60633032)",41.79508678,-87.60633032,2,4,557.8
11042,2559,COTTAGE GROVE,56TH STREET,"2,4",3.8,8.6,10/01/2012,Weekday,"(41.79313950, -87.60632880)",41.7931395,-87.6063288,2,2,12.4
11043,2559,COTTAGE GROVE,56TH STREET,"2,4",3.8,8.6,10/01/2012,Weekday,"(41.79313950, -87.60632880)",41.7931395,-87.6063288,2,4,12.4
11044,2560,COTTAGE GROVE,57TH STREET,"2,4",40.9,58.9,10/01/2012,Weekday,"(41.79145101, -87.60624970)",41.79145101,-87.6062497,2,2,99.8
