id,stop_id,on_street,cross_street,routes,boardings,alightings,month_beginning,daytype,location,lat,lon,num_routes,route,total_traffic
11229,3455,95TH STREET,PRINCETON,"N9,95W,108,112",98.9,38.9,10/01/2012,Weekday,"(41.72173800, -87.63119700)",41.721738,-87.631197,4,N9,137.8
11230,3455,95TH STREET,PRINCETON,"N9,95W,108,112",98.9,38.9,10/01/2012,Weekday,"(41.72173800, -87.63119700)",41.721738,-87.631197,4,95W,137.8
11231,3455,95TH STREET,PRINCETON,"N9,95W,108,112",98.9,38.9,10/01/2012,Weekday,"(41.72173800, -87.63119700)",41.721738,-87.631197,4,108,137.8
11232,3455,95TH STREET,PRINCETON,"N9,95W,108,112",98.9,38.9,10/01/2012,Weekday,"(41.72173800, -87.63119700)",41.721738,-87.631197,4,112,137.8
11233,3456,95TH STREET,RR CROSSING east of EGGLE,"N9,95W,108,112",184.3,76.5,10/01/2012,Weekday,"(41.72167000, -87.63321500)",41.72167,-87.633215,4,N9,260.8
11234,3456,95TH STREET,RR CROSSING east of EGGLE,"N9,95W,108,112",184.3,76.5,10/01/2012,Weekday,"(41.72167000, -87.63321500)",41.72167,-87.633215,4,95W,260.8
11235,3456,95TH STREET,RR CROSSING east of EGGLE,"N9,95W,108,112",184.3,76.5,10/01/2012,Weekday,"(41.72167000, -87.63321500)",41.72167,-87.633215,4,108,260.8
11236,3456,95TH STREET,RR CROSSING east of EGGLE,"N9,95W,108,112",184.3,76.5,10/01/2012,Weekday,"(41.72167000, -87.63321500)",41.72167,-87.633215,4,112,260.8
11237,3457,95TH STREET,NORMAL,"N9,95W,108,112",94.2,72.9,10/01/2012,Weekday,"(41.72166463, -87.63585239)",41.72166463,-87.63585239,4,N9,167.1
11238,3457,95TH STREET,NORMAL,"N9,95W,108,112",94.2,72.9,10/01/2012,Weekday,"(41.72166463, -87.63585239)",41.72166463,-87.63585239,4,95W,167.1
11239,3457,95TH STREET,NORMAL,"N9,95W,108,112",94.2,72.9,10/01/2012,Weekday,"(41.72166463, -87.63585239)",41.72166463,-87.63585239,4,108,167.1
11240,3457,95TH STREET,NORMAL,"N9,95W,108,112",94.2,72.9,10/01/2012,Weekday,"(41.72166463, -87.63585239)",41.72166463,-87.63585239,4,112,167.1
11241,3458,95TH STREET,WALLACE,"N9,95W,108,112",54.2,71,10/01/2012,Weekday,"(41.72161800, -87.63818500)",41.721618,-87.638185,4,N9,125.2
11242,3458,95TH STREET,WALLACE,"N9,95W,108,112",54.2,71,10/01/2012,Weekday,"(41.72161800, -87.63818500)",41.721618,-87.638185,4,95W,125.2
11243,3458,95TH STREET,WALLACE,"N9,95W,108,112",54.2,71,10/01/2012,Weekday,"(41.72161800, -87.63818500)",41.721618,-87.638185,4,108,125.2
11244,3458,95TH STREET,WALLACE,"N9,95W,108,112",54.2,71,10/01/2012,Weekday,"(41.72161800, -87.63818500)",41.721618,-87.638185,4,112,125.2
11245,3459,95TH STREET,UNION,"N9,95W,108,112",35.2,81.7,10/01/2012,Weekday,"(41.72159300, -87.64056800)",41.721593,-87.640568,4,N9,116.9
11246,3459,95TH STREET,UNION,"N9,95W,108,112",35.2,81.7,10/01/2012,Weekday,"(41.72159300, -87.64056800)",41.721593,-87.640568,4,95W,116.9
11247,3459,95TH STREET,UNION,"N9,95W,108,112",35.2,81.7,10/01/2012,Weekday,"(41.72159300, -87.64056800)",41.721593,-87.640568,4,108,116.9
11248,3459,95TH STREET,UNION,"N9,95W,108,112",35.2,81.7,10/01/2012,Weekday,"(41.72159300, -87.64056800)",41.721593,-87.640568,4,112,116.9
11249,3461,95TH STREET,PEORIA,"N9,95W,112",12.4,35.6,10/01/2012,Weekday,"(41.72153000, -87.64543700)",41.72153,-87.645437,3,N9,48
11250,3461,95TH STREET,PEORIA,"N9,95W,112",12.4,35.6,10/01/2012,Weekday,"(41.72153000, -87.64543700)",41.72153,-87.645437,3,95W,48
11251,3461,95TH STREET,PEORIA,"N9,95W,112",12.4,35.6,10/01/2012,Weekday,"(41.72153000, -87.64543700)",41.72153,-87.645437,3,112,48
11252,3462,95TH STREET,MORGAN,"N9,95W,112",32.1,80.4,10/01/2012,Weekday,"(41.72149700, -87.64787300)",41.721497,-87.647873,3,N9,112.5
11253,3462,95TH STREET,MORGAN,"N9,95W,112",32.1,80.4,10/01/2012,Weekday,"(41.72149700, -87.64787300)",41.721497,-87.647873,3,95W,112.5
11254,3462,95TH STREET,MORGAN,"N9,95W,112",32.1,80.4,10/01/2012,Weekday,"(41.72149700, -87.64787300)",41.721497,-87.647873,3,112,112.5
11255,3463,95TH STREET,METRA CROSSING east of VI,"N9,95W",12.8,11.8,10/01/2012,Weekday,"(41.72147500, -87.64992800)",41.721475,-87.649928,2,N9,24.6
11256,3463,95TH STREET,METRA CROSSING east of VI,"N9,95W",12.8,11.8,10/01/2012,Weekday,"(41.72147500, -87.64992800)",41.721475,-87.649928,2,95W,24.6
11257,3464,95TH STREET,VINCENNES,"N9,95W",115.4,82.8,10/01/2012,Weekday,"(41.72146886, -87.65110893)",41.72146886,-87.65110893,2,N9,198.2
11258,3464,95TH STREET,VINCENNES,"N9,95W",115.4,82.8,10/01/2012,Weekday,"(41.72146886, -87.65110893)",41.72146886,-87.65110893,2,95W,198.2
11259,3465,95TH STREET,RACINE,"N9,95W",35.8,65.6,10/01/2012,Weekday,"(41.72143500, -87.65277700)",41.721435,-87.652777,2,N9,101.4
11260,3465,95TH STREET,RACINE,"N9,95W",35.8,65.6,10/01/2012,Weekday,"(41.72143500, -87.65277700)",41.721435,-87.652777,2,95W,101.4
